,Precinct,Address,Borough,State,ZIP,Latitude,Longitude,full_address
0,1st Precinct,16 Ericsson Place,Manhattan,NY,,40.7206019,-74.0083484,"16 Ericsson Place, Manhattan, NY"
1,5th Precinct,19 Elizabeth Street,Manhattan,NY,,40.716186050000000,-73.9974894053488,"19 Elizabeth Street, Manhattan, NY"
2,6th Precinct,233 West 10 Street,Manhattan,NY,,40.73424555,-74.00544430645020,"233 West 10 Street, Manhattan, NY"
3,7th Precinct,19 1/2 Pitt Street,Manhattan,NY,,40.7162871,-73.9837703,"19 1/2 Pitt Street, Manhattan, NY"
4,9th Precinct,321 East 5 Street,Manhattan,NY,,43.1480091,-77.5944371,"321 East 5 Street, Manhattan, NY"
5,10th Precinct,230 West 20th Street,Manhattan,NY,,40.7426975,-73.99864944546470,"230 West 20th Street, Manhattan, NY"
6,13th Precinct,230 East 21st Street,Manhattan,NY,,40.7368819,-73.9827578,"230 East 21st Street, Manhattan, NY"
7,Midtown South Precinct,357 West 35th Street,Manhattan,NY,,40.7538182,-73.9949851,"357 West 35th Street, Manhattan, NY"
8,17th Precinct,167 East 51st Street,Manhattan,NY,,40.7567621,-73.9707859,"167 East 51st Street, Manhattan, NY"
9,Midtown North Precinct,306 West 54th Street,Manhattan,NY,,40.76496015,-73.9850868531467,"306 West 54th Street, Manhattan, NY"
10,19th Precinct,153 East 67th Street,Manhattan,NY,,40.767145550000000,-73.96381319536520,"153 East 67th Street, Manhattan, NY"
11,20th Precinct,120 West 82nd Street,Manhattan,NY,,40.7840868,-73.97508305171640,"120 West 82nd Street, Manhattan, NY"
12,Central Park Precinct,86th St & Transverse Road,Manhattan,NY,,40.7813642,-73.962518,"86th St & Transverse Road, Manhattan, NY"
13,23rd Precinct,164 East 102nd Street,Manhattan,NY,,40.7890749,-73.9470179,"164 East 102nd Street, Manhattan, NY"
14,24th Precinct,151 West 100th Street,Manhattan,NY,,40.7964779,-73.967428,"151 West 100th Street, Manhattan, NY"
15,25th Precinct,120 East 119th Street,Manhattan,NY,,40.80069235,-73.94111874373160,"120 East 119th Street, Manhattan, NY"
16,26th Precinct,520 West 126th Street,Manhattan,NY,,40.81469,-73.95653594153400,"520 West 126th Street, Manhattan, NY"
17,28th Precinct,2271-89 8th Avenue,Manhattan,NY,,40.8089232646183,-73.95254824385,"2271-89 8th Avenue, Manhattan, NY"
18,30th Precinct,451 West 151st Street,Manhattan,NY,,40.8288745,-73.94377772909830,"451 West 151st Street, Manhattan, NY"
19,32nd Precinct,250 West 135th Street,Manhattan,NY,,40.81573075,-73.9453546,"250 West 135th Street, Manhattan, NY"
